person,personLabel,deathDate,deathPlace,deathPlaceLabel,deathLat,deathLon,burialPlace,burialPlaceLabel,burialLat,burialLon
http://www.wikidata.org/entity/Q42887515,Harold Brown,1900-05-10T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q532742,North Burial Ground,41.842777777,-71.408055555
http://www.wikidata.org/entity/Q61658536,Johann Christian Ohlhorst,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q36,Poland,52.0,19.0,,,,
http://www.wikidata.org/entity/Q67239,Albert Bernhard Frank,1900-09-27T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,,,,
http://www.wikidata.org/entity/Q69789,Carl Bechstein,1900-03-06T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q1457350,Friedhof II der Sophiengemeinde Berlin,52.5339,13.3917
http://www.wikidata.org/entity/Q75392,Max Jähns,1900-09-19T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q98526737,Böhmischer Bethlehems-Friedhof,52.495694444,13.392194444
http://www.wikidata.org/entity/Q84474,Roderich von Erckert,1900-12-12T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,,,,
http://www.wikidata.org/entity/Q85447,Friedrich Eduard Hoffmann,1900-12-03T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q564922,Dorotheenstadt Cemetery,52.528411111,13.383702777
http://www.wikidata.org/entity/Q85904,Franz Betz,1900-08-11T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q1324474,Kaiser Wilhelm Memorial Cemetery,52.5259,13.2779
http://www.wikidata.org/entity/Q87602,Samuel Kristeller,1900-07-15T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q32651331,Schönhauser Allee Jewish Cemetery,52.534672222,13.413652777
http://www.wikidata.org/entity/Q87602,Samuel Kristeller,1900-07-15T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q32651331,Schönhauser Allee Jewish Cemetery,52.534454,13.414591
http://www.wikidata.org/entity/Q91711,Ferdinand von Hansemann,1900-10-03T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,,,,
http://www.wikidata.org/entity/Q92010,Ernst Ludwig Herrfurth,1900-02-14T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q438234,Alter Friedhof der Zwölf-Apostel-Gemeinde,52.483661111,13.36545
http://www.wikidata.org/entity/Q97069,Wilhelm Wehrenpfennig,1900-07-25T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,,,,
http://www.wikidata.org/entity/Q364403,James Edward Keeler,1900-08-12T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,37.775,-122.419444444,http://www.wikidata.org/entity/Q549937,Allegheny Observatory,40.4825,-80.0208
http://www.wikidata.org/entity/Q445392,John Sherman,1900-10-22T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q64707434,Mansfield Cemetery,40.744503,-82.5110016
http://www.wikidata.org/entity/Q452950,Frank Hamilton Cushing,1900-04-10T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,,,,
